season,position,model,n,mae,rmse,spearman,rank_mae,top_n_overlap
2021,QB,ridge,37,3.7901388759623864,4.853530424527421,0.6064485538169748,7.351351351351352,0.6666666666666666
2021,RB,baseline,65,3.2646044028872083,4.313222904904098,0.6129903191209248,12.646153846153846,0.6666666666666666
2021,RB,boost,65,2.5539948217055803,3.1192543404656967,0.6139016540094159,12.584615384615384,0.6666666666666666
2021,RB,prototype,65,,,0.6151694136025423,12.184615384615384,0.6666666666666666
2021,RB,ridge,65,2.448065691050775,3.2008452494521986,0.6188852606858435,12.123076923076923,0.6666666666666666
2021,TE,baseline,51,1.6104446383425621,2.1338174763332955,0.7054322212453353,8.470588235294118,0.5833333333333334
2021,TE,boost,51,1.698925229263314,2.080648009793397,0.6565867580879561,9.882352941176471,0.5833333333333334
2021,TE,prototype,51,,,0.6700770265594269,9.686274509803921,0.6666666666666666
2021,TE,ridge,51,1.5998456653988564,2.0080336735653077,0.6956994827837638,9.254901960784315,0.5833333333333334
2021,WR,baseline,91,2.8560206178401075,4.076122753318163,0.6558934149295594,15.054945054945055,0.6944444444444444
2021,WR,boost,91,2.71833693101145,3.527453622904039,0.6462669303116526,15.604395604395604,0.6666666666666666
2021,WR,prototype,91,,,0.6171040189872832,17.208791208791208,0.6944444444444444
2021,WR,ridge,91,3.6329701122968507,10.074042093905408,0.6449601278603763,15.736263736263735,0.6944444444444444
2022,QB,baseline,44,4.688619079041873,6.4243382849073924,0.4372093023255813,9.863636363636363,0.5833333333333334
2022,QB,boost,44,3.913543091117657,4.756277485338216,0.6417195207892882,8.409090909090908,0.6666666666666666
2022,QB,prototype,44,,,0.678505990133897,7.681818181818182,0.75
2022,QB,ridge,44,3.6453369180625743,4.686217038385432,0.6369274136715997,8.227272727272727,0.6666666666666666
2022,RB,baseline,62,2.9802834470505255,3.8094316931173915,0.6198985053316586,11.387096774193548,0.75
2022,RB,boost,62,2.4481184732529573,3.0257849005809185,0.6810128827227093,10.451612903225806,0.7083333333333334
2022,RB,prototype,62,,,0.6171978304033786,12.03225806451613,0.7083333333333334
2022,RB,ridge,62,2.404257587273201,3.08586648757479,0.6344989120700637,11.35483870967742,0.7083333333333334
2022,TE,baseline,56,1.6978941203521036,2.2898467634316044,0.6386023035086753,10.321428571428571,0.6666666666666666
2022,TE,boost,56,1.7912178122689855,2.1388214233731286,0.6746533084291527,10.035714285714286,0.5
2022,TE,prototype,56,,,0.58402415051923,11.392857142857142,0.4166666666666667
2022,TE,ridge,56,2.104520174288973,4.040427871005309,0.5928201073103366,10.892857142857142,0.5
2022,WR,baseline,96,2.5523754899444238,3.3370941902656455,0.6437287756129144,17.666666666666668,0.6944444444444444
2022,WR,boost,96,2.5062810978459704,2.9720322292744044,0.6842162512939303,16.770833333333332,0.7222222222222222
2022,WR,prototype,96,,,0.7123664162063341,16.041666666666668,0.8055555555555556
2022,WR,ridge,96,2.3478400140296025,2.8232972952611055,0.7044837203398843,16.125,0.75
2023,QB,baseline,42,4.463070057859975,6.132710659642649,0.48010696053804397,8.952380952380953,0.5833333333333334
2023,QB,boost,42,4.2783223964784645,5.594690176476848,0.452070334656835,10.285714285714286,0.3333333333333333
2023,QB,prototype,42,,,0.449639413337655,9.857142857142858,0.4166666666666667
2023,QB,ridge,42,4.353038292018438,5.516435853225474,0.48918240012964914,9.619047619047619,0.4166666666666667
2023,RB,baseline,59,3.023818298545367,3.8663540338097966,0.6170865822367896,11.694915254237289,0.6666666666666666
2023,RB,boost,59,2.575538662967737,3.0267468253247696,0.7218682521709009,10.101694915254237,0.7083333333333334
2023,RB,prototype,59,,,0.7217805687650983,9.864406779661017,0.7083333333333334
2023,RB,ridge,59,2.8643774286712596,3.2921626960701653,0.699655122700908,10.271186440677965,0.7083333333333334
2023,TE,baseline,52,1.807759240822023,2.340006501105218,0.6219176396871293,10.384615384615385,0.6666666666666666
2023,TE,boost,52,1.6402290994255384,2.0218058808977415,0.6778105273794298,9.384615384615385,0.6666666666666666
2023,TE,prototype,52,,,0.7138892609627758,9.115384615384615,0.6666666666666666
2023,TE,ridge,52,1.5920773118140574,1.9948109146550443,0.6971948410443282,9.423076923076923,0.6666666666666666
2023,WR,baseline,77,2.5597535974974854,3.366556582363019,0.764265416881681,11.220779220779221,0.8055555555555556
2023,WR,boost,77,2.550699351999583,3.010119184969562,0.7344245604952567,12.051948051948052,0.75
2023,WR,prototype,77,,,0.7141393510612151,12.987012987012987,0.75
2023,WR,ridge,77,2.5298848793450968,3.030887316245315,0.745632730688385,12.207792207792208,0.75
2024,QB,baseline,41,5.603409582924647,7.946944446389244,0.2447735191637631,11.121951219512194,0.6666666666666666
2024,QB,boost,41,4.340022247027225,5.648345041211032,0.4479094076655053,9.21951219512195,0.75
2024,QB,prototype,41,,,0.4562717770034845,9.268292682926829,0.5833333333333334
2024,QB,ridge,41,4.653811401034464,5.8322269893869505,0.449651567944251,9.073170731707316,0.6666666666666666
2024,RB,baseline,59,2.6038933930808303,3.6273372439982374,0.7456725146198829,9.389830508474576,0.75
2024,RB,boost,59,2.7437793135560122,3.5721509373418727,0.725752734894238,9.864406779661017,0.75
2024,RB,prototype,59,,,0.7119555989642362,10.169491525423728,0.7916666666666666
2024,RB,ridge,59,2.88005845745865,3.713428054886909,0.733528239464959,9.627118644067796,0.75
2024,TE,baseline,50,1.9157447408800348,2.4414935982510184,0.6582625012353917,9.16,0.8333333333333334
