split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
development,value_tier,D10,WR033_X_PREV_RATE,181,102.38300455,128.234569747,46.5311321513,0.146764873582,4.20994475138,1,0.370165745856,0.0939226519337
development,value_tier,D10,PRIOR_TOTAL_SCHEDULE_ADJUSTED,181,123.005103591,155.776384782,93.679730663,0.17352059522,4.08839779006,1,0.453038674033,0.0441988950276
development,value_tier,D10,POSITION_MEAN_TOTAL,181,100.447975808,128.235452794,-68.9821618206,0.171338046382,4.57458563536,1,0,0.414364640884
development,value_tier,WR_Q4,INDEPENDENT_PRODUCT,168,80.5503443269,94.9374020923,-13.9033240028,0.127330132864,12.9761904762,0.861111111111,0.130952380952,0.208333333333
development,value_tier,WR_Q4,PAIRED_RESIDUAL_MEAN,168,80.349667626,93.7350976563,-11.1736751136,0.137690094099,12.9523809524,0.861111111111,0.125,0.202380952381
development,value_tier,WR_Q4,WR033_X_PREV_RATE,168,86.4534378338,106.842041957,43.1975699058,0.172289427457,12.5595238095,0.861111111111,0.291666666667,0.0654761904762
development,value_tier,WR_Q4,PRIOR_TOTAL_SCHEDULE_ADJUSTED,168,102.615877976,128.406625244,78.0694642857,0.195783532666,12.0714285714,0.861111111111,0.369047619048,0.0357142857143
development,value_tier,WR_Q4,POSITION_MEAN_TOTAL,168,85.6717623392,107.617413421,-54.3388937376,0.0171938634932,14.5476190476,0.868055555556,0,0.369047619048
development,fallback,False,INDEPENDENT_PRODUCT,1735,36.6603595059,56.6110232678,-1.92926721147,0.369311089886,30.7734870317,0.485243055556,0.0311239193084,0.0674351585014
development,fallback,False,PAIRED_RESIDUAL_MEAN,1735,39.1110216081,56.5631945827,3.16025173897,0.363592052886,30.7158501441,0.493055555556,0.0299711815562,0.0662824207493
development,fallback,False,WR033_X_PREV_RATE,1735,45.8735210186,68.6207799655,23.8099841393,0.371558382993,30.269740634,0.506944444444,0.106051873199,0.0305475504323
