player_id,player_name,position,prior_2025_games,naive_prev_ppr_pg,ridge_shadow_ppr_pg,boost_shadow_ppr_pg,rookie_or_no_2025_history
00-0036427,Tyler Johnson,WR,9,4.1889,4.7092,4.5409,False
00-0040277,Jahdae Walker,WR,6,4.4500,4.8916,4.5409,False
00-0035500,Greg Dortch,WR,12,6.2583,4.6949,4.4753,False
00-0034407,Ray-Ray McCloud,WR,6,2.3167,3.8679,4.4674,False
00-0033591,Noah Brown,WR,4,3.3250,4.5049,4.4436,False
00-0034521,Allen Lazard,WR,9,2.5556,4.7136,4.3872,False
00-0036849,Tutu Atwell,WR,8,3.9000,4.1712,4.3842,False
00-0039739,Roman Wilson,WR,9,4.2889,4.9384,4.3842,False
00-0035298,Scott Miller,WR,5,3.0400,3.1648,4.1433,False
00-0039394,Casey Washington,WR,5,3.0800,3.9545,4.1080,False
00-0040581,Dont'e Thornton Jr.,WR,11,2.1364,3.4717,4.0281,False
00-0040729,Jack Bech,WR,14,3.0286,4.0643,3.9724,False
00-0040164,Jaylin Lane,WR,15,3.4133,4.0956,3.9599,False
00-0038938,Jalin Hyatt,WR,6,1.4167,2.1734,3.8412,False
00-0039623,Mason Tipton,WR,8,2.5500,2.9907,3.7400,False
00-0039920,Malachi Corley,WR,12,2.6333,3.6216,3.6725,False
00-0038953,Dylan Drummond,WR,6,1.8667,2.9343,3.6582,False
00-0040432,Beaux Collins,WR,4,1.1250,2.2389,3.6184,False
00-0039521,Xavier Weaver,WR,7,1.9571,3.2268,3.5709,False
00-0036841,Austin Trammell,WR,6,1.2667,2.4349,3.5663,False
00-0039379,Jamari Thrash,WR,8,2.5875,2.8028,3.5310,False
00-0039792,Devontez Walker,WR,8,4.7000,5.3838,3.5151,False
00-0040582,Arian Smith,WR,13,1.0385,2.7231,3.4583,False
00-0040184,KeAndre Lambert-Smith,WR,10,1.6100,2.8759,3.3643,False
00-0036959,Michael Bandy,WR,4,3.7500,4.6252,3.3405,False
00-0034418,Cedrick Wilson Jr.,WR,6,1.5667,2.9370,3.2171,False
00-0038640,Jalen Brooks,WR,5,1.6200,2.7368,3.0143,False
00-0034487,Trent Sherfield,WR,4,1.2750,2.6616,3.0097,False
00-0038576,Charlie Jones,WR,14,0.4286,1.5292,2.9303,False
00-0035021,Ashton Dulin,WR,12,1.6667,2.9284,2.9023,False
00-0036133,James Proche,WR,6,2.0833,2.5477,2.8304,False
00-0040009,Savion Williams,WR,12,2.1250,3.0653,2.7770,False
00-0035602,Alex Bachman,WR,11,0.2909,1.7391,2.7577,False
00-0036620,Dee Eskridge,WR,11,0.9273,2.1641,2.7434,False
00-0040259,Gage Larvadain,WR,13,1.1077,2.5052,2.7388,False
00-0037091,Bo Melton,WR,13,1.8615,3.1817,2.7159,False
00-0034860,Dante Pettis,WR,8,2.4625,3.2732,2.7085,False
00-0036630,Tylan Wallace,WR,11,1.3182,2.7982,2.7036,False
00-0034854,KhaDarel Hodge,WR,8,0.7625,2.2245,2.6604,False
00-0035891,Cody White,WR,8,2.2500,3.2892,2.6554,False
00-0038824,Ryan Miller,WR,9,1.2667,2.6304,2.6508,False
00-0035544,Tom Kennedy,WR,6,1.2667,2.8700,2.6156,False
00-0037742,Treylon Burks,WR,8,3.6250,3.0011,2.5983,False
00-0038465,Malik Heath,WR,7,2.0857,3.3763,2.5854,False
00-0035645,Gunner Olszewski,WR,16,2.2388,1.7018,2.5729,False
00-0037487,Deven Thompkins,WR,7,0.8857,2.1638,2.5188,False
00-0036646,Simi Fehoko,WR,7,0.0000,1.9459,2.4828,False
00-0035876,Andre Baccellia,WR,4,0.7000,2.2351,2.4782,False
00-0031763,DeAndre Carter,WR,4,0.0000,1.7129,2.4430,False
00-0039062,Jonathan Mingo,WR,5,0.7000,1.9856,2.3016,False
00-0033572,Jamal Agnew,WR,11,0.0000,1.7698,2.2990,False
00-0040075,LaJohntay Wester,WR,14,0.0000,1.7219,2.2990,False
00-0040506,Myles Price,WR,16,0.0000,1.6900,2.2990,False
00-0040534,Ke'Shawn Williams,WR,11,0.2273,1.9366,2.2590,False
00-0032951,Laquon Treadwell,WR,6,0.0000,1.8497,2.2571,False
00-0038519,Nikko Remigio,WR,14,0.3000,2.0211,2.1286,False
00-0039816,Anthony Gould,WR,11,0.2364,1.5168,2.0881,False
00-0038496,Xavier Gipson,WR,6,0.4333,1.8520,2.0759,False
00-0040154,Tai Felton,WR,12,0.4583,2.1161,2.0528,False
00-0039451,Isaiah Williams,WR,15,4.0467,2.8656,1.9600,False
00-0036176,Mason Kinsey,WR,6,1.1333,2.0897,1.9150,False
00-0039589,Kameron Johnson,WR,17,1.0412,1.8305,1.9024,False
