split,event,model,scope,scope_value,n,prevalence,brier,brier_baseline,brier_skill,roc_auc,pr_auc,log_loss
confirmation,high_availability,PREVALENCE,position,WR,683,0.1595900439238653,0.13438339906339714,0.13438339906339714,0.0,0.441238052616437,0.14254830422480647,0.4399298409960851
confirmation,high_availability,PREVALENCE,position,TE,380,0.15526315789473685,0.13189595816588945,0.13189595816588945,0.0,0.49149902317968214,0.15051152194988848,0.4348427942180462
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,1773,0.1449520586576424,0.10897548236234311,0.12371680934616526,0.11915379213001887,0.7787426978635156,0.31761967388876977,0.3525874848978629
confirmation,high_availability,LOGIT_MINIMAL,position,QB,258,0.07751937984496124,0.07102521467640979,0.07324702717161648,0.03033314225847039,0.7659663865546218,0.19697214435847615,0.25240786382253616
confirmation,high_availability,LOGIT_MINIMAL,position,RB,452,0.15265486725663716,0.11607784393097267,0.12953062897596399,0.10385794581054375,0.7507851818216218,0.31190225674134703,0.3743970157569465
confirmation,high_availability,LOGIT_MINIMAL,position,WR,683,0.1595900439238653,0.11748900635655894,0.13438339906339714,0.12571785521564338,0.7696672314036379,0.3386036003755361,0.37709275611689047
confirmation,high_availability,LOGIT_MINIMAL,position,TE,380,0.15526315789473685,0.11099170537787152,0.13189595816588945,0.15849047293569096,0.8080416072654312,0.36225614268390127,0.35061731133610663
confirmation,high_availability,LOGIT_FULL,pooled,ALL,1773,0.1449520586576424,0.107015044778188,0.12371680934616526,0.13499996206049059,0.7890619385439874,0.3632327938289364,0.3514635132779369
confirmation,high_availability,LOGIT_FULL,position,QB,258,0.07751937984496124,0.06991245294309706,0.07324702717161648,0.045525045278719256,0.7638655462184873,0.2057035292510825,0.2488682427400468
confirmation,high_availability,LOGIT_FULL,position,RB,452,0.15265486725663716,0.11277922534762583,0.12953062897596399,0.1293238808517373,0.7670564195708934,0.3827590976257019,0.36596429591344576
confirmation,high_availability,LOGIT_FULL,position,WR,683,0.1595900439238653,0.11400252899678286,0.13438339906339714,0.15166211160501553,0.7932423360930858,0.37783301487626403,0.36634013792691905
confirmation,high_availability,LOGIT_FULL,position,TE,380,0.15526315789473685,0.11279032729073352,0.13189595816588945,0.14485380098703415,0.8023654892021755,0.3995080196735011,0.3771332275207549
all,low_availability,PREVALENCE,pooled,ALL,3508,0.7243443557582668,0.19908818428956032,0.19908818428956032,0.0,0.527316639989386,0.7479647926031754,0.5870920829029731
all,low_availability,PREVALENCE,position,QB,495,0.8121212121212121,0.153371742001688,0.153371742001688,0.0,0.4532177820574546,0.7923910928613015,0.48553993381028343
all,low_availability,PREVALENCE,position,RB,900,0.7188888888888889,0.20274894973530294,0.20274894973530294,0.0,0.5096004056423383,0.7164835450127083,0.5955775992355533
