player_id,player_name,position,rookie,draft_pick,age_sep1,experience_years,baseline_ppr_pg,ridge_ppr_pg,boost_ppr_pg,baseline_games,ridge_games,boost_games
00-0037809,Chig Okonkwo,TE,False,143.0,26.982,4,7.2941,6.6546,7.2211,17.0,8.643,9.645
00-0039066,Michael Mayer,TE,False,35.0,25.156,3,5.6769,6.2409,5.6166,13.0,8.84,7.745
00-0040584,Gunnar Helm,TE,False,120.0,23.987,1,5.7313,5.8956,5.1265,16.0,8.756,8.397
00-0035644,Noah Fant,TE,False,20.0,28.781,7,5.7538,5.746,5.5598,13.0,7.489,6.814
00-0033357,Taysom Hill,TE,False,,36.025,9,3.2138,5.7381,3.2359,13.0,3.075,6.064
00-0034829,Mike Gesicki,TE,False,42.0,30.914,8,5.8917,5.6425,6.0311,12.0,5.951,6.07
00-0038558,Darnell Washington,TE,False,93.0,25.041,3,5.6462,5.6247,4.6853,13.0,7.289,7.913
00-0036423,Albert Okwuegbunam,TE,False,118.0,28.354,6,8.6,5.4663,6.7237,1.0,1.902,2.965
00-0041032,Kenyon Sadiq,TE,True,16.0,21.495,0,7.8567,5.4465,9.8921,7.84,5.986,8.833
00-0037252,Greg Dulcich,TE,False,80.0,26.434,4,6.9778,5.3767,5.0163,9.0,6.521,7.767
00-0037838,Isaiah Likely,TE,False,139.0,26.372,4,5.1417,5.1873,5.3995,12.0,6.328,7.499
00-0031610,Darren Waller,TE,False,204.0,33.966,11,9.8556,5.0768,7.6838,9.0,2.998,2.088
00-0039356,Ja'Tavion Sanders,TE,False,101.0,23.434,2,4.5,4.8559,3.4646,12.0,7.781,8.382
00-0041483,Eli Stowers,TE,True,54.0,23.382,0,3.6489,4.6301,3.6513,3.889,5.001,4.194
00-0040739,Elijah Arroyo,TE,False,50.0,23.409,1,2.8385,4.6061,3.9466,13.0,8.332,8.196
00-0041510,Max Klare,TE,True,61.0,23.152,0,3.6489,4.5804,3.6513,3.889,4.957,4.194
00-0041472,Marlin Klein,TE,True,59.0,23.957,0,3.6489,4.5366,3.6697,3.889,4.876,4.194
00-0041503,Nate Boerkircher,TE,True,56.0,24.992,0,3.6489,4.4855,3.3712,3.889,4.777,3.979
00-0041558,Sam Roush,TE,True,69.0,22.987,0,3.6489,4.4855,3.5736,3.889,4.834,4.497
00-0041041,Oscar Delp,TE,True,73.0,23.078,0,3.6489,4.4464,3.4547,3.889,4.788,4.194
00-0041395,Eli Raridon,TE,True,95.0,22.552,0,3.6489,4.3339,3.3337,3.889,4.691,4.497
00-0041524,Will Kacmarek,TE,True,87.0,23.551,0,3.6489,4.3084,3.033,3.889,4.621,4.194
00-0039912,Ben Sinnott,TE,False,53.0,24.217,2,3.1556,4.1228,3.68,9.0,6.639,6.083
00-0038115,Daniel Bellinger,TE,False,112.0,25.942,4,4.5846,4.0497,3.812,13.0,7.621,7.781
00-0041077,Justin Joly,TE,True,152.0,22.147,0,4.142,3.9973,5.1152,5.089,4.293,3.691
00-0040879,Matthew Hibner,TE,True,133.0,24.482,0,4.142,3.9405,3.0513,5.089,4.16,3.979
00-0041084,Tanner Koziol,TE,True,164.0,22.593,0,4.142,3.9129,3.0693,5.089,4.184,3.638
00-0037805,Jeremy Ruckert,TE,False,101.0,26.057,4,3.35,3.8114,3.5148,14.0,8.044,7.533
00-0040887,Josh Cuevas,TE,True,173.0,23.935,0,4.142,3.7735,2.787,5.089,3.978,3.639
00-0041087,Joe Royer,TE,True,170.0,24.515,0,4.142,3.7403,2.787,5.089,3.918,3.423
00-0041579,Seydou Traore,TE,True,180.0,24.055,0,2.6281,3.7375,2.7458,1.861,3.935,3.639
00-0041094,Bauer Sharp,TE,True,185.0,23.332,0,2.6281,3.7364,2.7274,1.861,3.936,3.639
