split,scope,scope_value,model,n,mae,rmse,bias,spearman
all,season,2019,PREV_GAMES,444,5.849099099099099,7.417868614014053,3.885135135135135,0.3276230343993762
all,season,2020,PREV_GAMES,437,5.7345537757437075,7.407399355873241,3.606407322654462,0.2727041743676041
all,season,2021,PREV_GAMES,435,5.581609195402299,7.084384641387453,3.393103448275862,0.27467959871507575
all,season,2022,PREV_GAMES,475,5.265263157894736,7.017121917139534,3.6821052631578945,0.36155768392753196
all,season,2023,PREV_GAMES,446,5.645739910313901,7.40439815971719,3.7757847533632285,0.32925350282550664
all,season,2024,PREV_GAMES,421,5.418052256532066,7.213572586013237,3.5558194774346794,0.41817427949428404
all,season,2025,PREV_GAMES,431,5.663573085846868,7.488738645227227,4.099767981438515,0.3207328027306316
all,pooled,ALL,POSITION_MEAN,3508,5.170221916183657,5.857252160878656,0.19677305151963825,-0.004557540653434387
all,position,QB,POSITION_MEAN,495,4.160456836741157,5.035970507699799,0.4331394948194044,-0.05959357363658458
all,position,RB,POSITION_MEAN,900,5.337749264008136,5.975804349626167,0.31554318361312045,0.00042684887945103057
all,position,WR,POSITION_MEAN,1351,5.415468462454635,6.067004082086714,0.11843076763996875,-0.011943001900152336
all,position,TE,POSITION_MEAN,762,5.193490967718974,5.833328690024002,0.041846433677006974,-0.03095126041819867
all,season,2018,POSITION_MEAN,419,5.05796001097062,5.657544454156191,0.48157138964597196,0.020570404063447567
all,season,2019,POSITION_MEAN,444,5.291106210064529,5.854063373143889,0.4823786543848151,0.03953526461398182
all,season,2020,POSITION_MEAN,437,5.183458290429935,5.822753254360724,-0.00533887703657644,0.00597615790348847
all,season,2021,POSITION_MEAN,435,4.986207629088188,5.71249096080477,0.2928501379366696,0.03406725337836295
all,season,2022,POSITION_MEAN,475,5.014230583063662,5.715759304623003,0.46686487057947645,-0.04252539912680663
all,season,2023,POSITION_MEAN,446,5.302229172164997,5.987979711748446,0.23506272107877105,-0.05645510087759171
all,season,2024,POSITION_MEAN,421,5.556232802933232,6.318573389904369,-0.6380519435785947,0.02417376642740314
all,season,2025,POSITION_MEAN,431,4.985389189698291,5.778929603097889,0.21180902622994988,0.06229587988967764
all,pooled,ALL,RIDGE_MINIMAL,3508,4.619353141510829,5.422294916929324,0.10182394850192528,0.335110612207003
all,position,QB,RIDGE_MINIMAL,495,3.720714300035512,4.643820879325167,0.30851746987065737,0.28452336083678975
all,position,RB,RIDGE_MINIMAL,900,4.821385395355778,5.562057456500189,0.19820170252988514,0.33594891291680956
all,position,WR,RIDGE_MINIMAL,1351,4.825744814912175,5.632934914309583,-0.03394277175007971,0.3429413461552796
all,position,TE,RIDGE_MINIMAL,762,4.598568426687486,5.343205508385258,0.09443230461448754,0.36063082009599406
all,season,2018,RIDGE_MINIMAL,419,4.580382866748525,5.2554725078170605,0.47713022859166365,0.33642215735386566
all,season,2019,RIDGE_MINIMAL,444,4.761348292898274,5.517887217110821,0.28901184181511863,0.33068924941884076
all,season,2020,RIDGE_MINIMAL,437,4.76740066987718,5.526959449598906,-0.1365714118673345,0.27803914304226507
all,season,2021,RIDGE_MINIMAL,435,4.528658563683938,5.379976894388473,-0.01909036743894484,0.28225644727071164
all,season,2022,RIDGE_MINIMAL,475,4.298184041692439,5.171017993775832,0.21765550178200335,0.3606004718274883
all,season,2023,RIDGE_MINIMAL,446,4.6919091056182864,5.529261985012106,0.1604122716024783,0.34126103499181343
all,season,2024,RIDGE_MINIMAL,421,4.796236428315262,5.633781748470281,-0.45022504323973433,0.4379949346497393
all,season,2025,RIDGE_MINIMAL,431,4.558484389875396,5.365861305248391,0.2588401655305605,0.3132263142705792
all,pooled,ALL,POISSON_MINIMAL,3508,4.650498398442347,5.436488703807601,0.12230923597594846,0.33138952463283233
all,position,QB,POISSON_MINIMAL,495,3.7245119648732774,4.677727646334881,0.27442101890913617,0.2842767924265062
all,position,RB,POISSON_MINIMAL,900,4.863041159636022,5.584656918027631,0.23615845853591264,0.3337277948588652
all,position,WR,POISSON_MINIMAL,1351,4.863580409150235,5.634642765084004,0.00041549935555397965,0.34315802377576504
all,position,TE,POISSON_MINIMAL,762,4.623203126888577,5.3593312065647,0.10514231382143054,0.3597968079223357
all,season,2018,POISSON_MINIMAL,419,4.550431561112712,5.2363215023052,0.4809700264648861,0.33653776114355594
all,season,2019,POISSON_MINIMAL,444,4.790113379909698,5.540305329194712,0.28939765615845603,0.33094886500739396
all,season,2020,POISSON_MINIMAL,437,4.809094553685777,5.5599904569348535,-0.14368744383063248,0.27481337319766347
all,season,2021,POISSON_MINIMAL,435,4.53463559186974,5.376326750575523,-0.025393415253868613,0.28270107267596667
all,season,2022,POISSON_MINIMAL,475,4.352570875260621,5.213410158855935,0.27451080352297874,0.3515704649850587
all,season,2023,POISSON_MINIMAL,446,4.735435159401332,5.528879306941875,0.19472405756412223,0.3330421885592816
all,season,2024,POISSON_MINIMAL,421,4.847771534837233,5.644538036501077,-0.40583314549112043,0.4361236315204339
all,season,2025,POISSON_MINIMAL,431,4.607840722778044,5.390355400465753,0.29349313427993734,0.31063662337593995
all,pooled,ALL,RIDGE_FULL,3508,4.5555233467217295,5.42188970439724,0.057247197483274184,0.3372440008400629
all,position,QB,RIDGE_FULL,495,3.683751020451631,4.616447258750204,0.2718338744717487,0.32177845163152546
all,position,RB,RIDGE_FULL,900,4.711515935774623,5.552958732617351,0.11503172694556936,0.33199709416321005
all,position,WR,RIDGE_FULL,1351,4.7511461416212395,5.63727521484175,-0.08767438265043864,0.34352724300750415
all,position,TE,RIDGE_FULL,762,4.590756385365897,5.359757797913642,0.1065419128839112,0.3475805849822253
