position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
QB,performance,prev1_target_share,8,0.16988763402986706,0.16988763402986706,1.0,0.0,1.0,True
QB,performance,prev1_attempts_pg,8,0.16646093477186943,0.16646093477186943,1.0,0.0,1.0,True
QB,performance,experience_years,8,-0.1565387126270879,0.1565387126270879,0.0,1.0,1.0,True
QB,performance,prev1_rush_ypc,8,-0.14632928358499445,0.14632928358499445,0.0,1.0,1.0,True
QB,performance,prev1_receptions_pg,8,0.13906572426857872,0.13906572426857872,0.875,0.125,0.875,True
QB,performance,prev1_targets_pg,8,-0.09085400390525711,0.09085400390525711,0.125,0.875,0.875,True
QB,performance,prev1_rush_yards_pg,8,-0.12421630044845258,0.13400203155094192,0.25,0.75,0.75,True
QB,performance,has_prev2,8,0.06885041846487991,0.06885041846487991,0.75,0.25,0.75,True
QB,performance,prev1_rush_tds_pg,8,0.03554918242759933,0.06563727199626616,0.75,0.25,0.75,False
QB,performance,prev1_wopr,8,0.038335635592916,0.038335635592916,0.75,0.25,0.75,False
QB,performance,prev1_rec_tds_pg,8,-0.10685535356048759,0.13712835310948984,0.375,0.625,0.625,False
QB,performance,games_delta,8,0.1028422080335748,0.1075082221827537,0.625,0.375,0.625,False
QB,performance,draft_round,8,0.027107983263748917,0.05862217023220076,0.5,0.5,0.5,False
QB,performance,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
RB,breakout,prev1_receptions_pg,8,-0.40783364044816334,0.40783364044816334,0.0,1.0,1.0,True
RB,breakout,prev1_target_share,8,0.3366231798032735,0.3366231798032735,1.0,0.0,1.0,True
RB,breakout,prev1_wopr,8,0.2992590918746719,0.2992590918746719,1.0,0.0,1.0,True
RB,breakout,prev1_rush_ypc,8,0.2802606555837863,0.2802606555837863,1.0,0.0,1.0,True
RB,breakout,prev1_ppr_pg,8,-0.2630653740956851,0.2630653740956851,0.0,1.0,1.0,True
RB,breakout,prev1_pass_tds_pg,8,-0.2619477451945562,0.2619477451945562,0.0,1.0,1.0,True
RB,breakout,prev1_rush_tds_pg,8,-0.2570955751439695,0.2570955751439695,0.0,1.0,1.0,True
RB,breakout,weighted_ppr_pg,8,-0.25648921556175264,0.25648921556175264,0.0,1.0,1.0,True
RB,breakout,prev1_rush_epa_pg,8,-0.24900891267566158,0.24900891267566158,0.0,1.0,1.0,True
RB,breakout,prev2_ppr_pg,8,-0.19364120752037917,0.19364120752037917,0.0,1.0,1.0,True
RB,breakout,has_prev2,8,-0.1871285928603003,0.1871285928603003,0.0,1.0,1.0,True
RB,breakout,age_sep1,8,-0.17356809615526408,0.17356809615526408,0.0,1.0,1.0,True
RB,breakout,draft_round,8,-0.17110787319936527,0.17110787319936527,0.0,1.0,1.0,True
RB,breakout,prev1_air_yards_share,8,-0.1622096929867216,0.1622096929867216,0.0,1.0,1.0,True
RB,breakout,prev1_pass_yards_pg,8,-0.1432165343661277,0.1432165343661277,0.0,1.0,1.0,True
RB,breakout,experience_years,8,-0.12207946905440994,0.12207946905440994,0.0,1.0,1.0,True
RB,breakout,prev1_rec_ypt,8,-0.11470788835603024,0.11470788835603024,0.0,1.0,1.0,True
RB,breakout,ppr_delta,8,-0.10312918671180873,0.10312918671180873,0.0,1.0,1.0,True
RB,breakout,games_delta,8,-0.09944186761656418,0.09944186761656418,0.0,1.0,1.0,True
RB,breakout,prev1_games,8,-0.059222718360301276,0.059222718360301276,0.125,0.875,0.875,True
RB,breakout,prev1_pass_epa_pg,8,0.30191830757951765,0.30191830757951765,0.75,0.25,0.75,True
RB,breakout,prev1_pass_ypa,8,0.1645564889580878,0.17563505729213744,0.75,0.25,0.75,True
RB,breakout,prev1_carries_pg,8,0.10142370617315219,0.10142370617315219,0.75,0.25,0.75,True
RB,breakout,prev1_rec_tds_pg,8,-0.06038201131784582,0.07492720639307862,0.25,0.75,0.75,True
RB,breakout,prev1_int_pg,8,-0.06733260305292943,0.06733260305292943,0.0,0.75,0.75,True
RB,breakout,prev1_attempts_pg,8,0.029055008174899484,0.029055008174899484,1.0,0.0,1.0,False
RB,breakout,prev1_rush_yards_pg,8,-0.04650824435876289,0.07054504959170033,0.25,0.75,0.75,False
RB,breakout,prev2_games,8,0.04007174002786375,0.04165615570828811,0.75,0.25,0.75,False
RB,breakout,prev1_rec_yards_pg,8,-0.04465003552970584,0.16762048544775998,0.375,0.625,0.625,False
RB,breakout,prev1_rec_epa_pg,8,-0.02734727608718033,0.06591227714180735,0.375,0.625,0.625,False
RB,breakout,log_draft_pick,8,-0.03712741557217783,0.0615316032362235,0.375,0.625,0.625,False
RB,breakout,drafted,8,-0.014734766760340808,0.0440829203577841,0.375,0.625,0.625,False
RB,breakout,prev1_targets_pg,8,0.007974835509992674,0.040247662427275926,0.625,0.375,0.625,False
RB,breakout,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
RB,downside,prev1_carries_pg,8,0.6961529745115915,0.6961529745115915,1.0,0.0,1.0,True
