season,position,label,n,prevalence,roc_auc,average_precision,brier,climatology_brier,brier_skill,log_loss,ece_fixed_bins,warning_informative
2023,WR,low_availability,171,0.7192982456140351,0.7835365853658537,0.9047694005769066,0.16665707314952277,0.20190827947060633,0.1745901971603666,0.50520676736681,0.07242553483865817,True
2024,WR,low_availability,154,0.6818181818181818,0.7589893100097181,0.8728929581178863,0.18098064914900294,0.2169421487603306,0.16576538868459612,0.5385650185050416,0.06942761756055878,True
2025,WR,low_availability,170,0.7529411764705882,0.7760416666666665,0.9116412581978232,0.15727940286714676,0.18602076124567474,0.1545061862238576,0.4833630636765354,0.05689771420386416,True
2018,TE,breakout,51,0.23529411764705882,0.37393162393162394,0.23578478307637624,0.20784839739907277,0.17993079584775085,-0.15515743939100068,0.6897555647223291,0.15809524993509472,False
2019,TE,breakout,49,0.14285714285714285,0.6224489795918366,0.25816326530612244,0.12211729957243614,0.12244897959183673,0.0027087201584381493,0.40889240279020145,0.009924029461056527,False
2020,TE,breakout,48,0.20833333333333334,0.6552631578947369,0.35077650587632436,0.1682844201682339,0.16493055555555555,-0.020335010704239265,0.5237042274276899,0.07041678716741315,False
2021,TE,breakout,51,0.0784313725490196,0.5797872340425532,0.12653911948266788,0.07690761801312908,0.0722798923490965,-0.06402507687313164,0.2958107032153299,0.0689366921054998,False
2022,TE,breakout,56,0.03571428571428571,0.25,0.03518518518518518,0.04696763875534322,0.03443877551020408,-0.3638010660810773,0.21945156257122264,0.10061269026644236,False
2023,TE,breakout,52,0.019230769230769232,0.8235294117647058,0.1,0.02925628191778071,0.01886094674556213,-0.5511565942290009,0.16606456592054641,0.10316123567024546,False
2024,TE,breakout,50,0.14,0.5581395348837208,0.18789305164881198,0.12346876803709408,0.12040000000000001,-0.0254881066203827,0.43193846776957295,0.029970327972842173,False
2025,TE,breakout,57,0.08771929824561403,0.5423076923076924,0.10692808395852578,0.08060714002450632,0.08002462296091103,-0.007279222844696509,0.30035994720721754,0.024837043133939446,False
2018,TE,downside,51,0.0392156862745098,0.8673469387755103,0.18333333333333335,0.06307996005187624,0.03767781622452903,-0.6741936336217358,0.20645504060122355,0.09101205940458473,False
2019,TE,downside,49,0.20408163265306123,0.8,0.6344908253156335,0.12405639045871696,0.1624323198667222,0.2362579654067195,0.42813857332632926,0.11961511023112441,True
2020,TE,downside,48,0.16666666666666666,0.859375,0.6284340659340659,0.10388778567340053,0.1388888888888889,0.2520079431515162,0.3340490673918004,0.06705769429328437,True
