season,position,family,n,mean_feature_coverage,row_70pct_coverage_rate,prior_team_available_rate,split
2018,WR,OL_ENVIRONMENT,84,0.9523809523809523,0.9523809523809523,0.9523809523809523,development
2018,TE,OL_ENVIRONMENT,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,development
2019,QB,OL_ENVIRONMENT,31,1.0,1.0,1.0,development
2019,RB,OL_ENVIRONMENT,55,0.9272727272727272,0.9272727272727272,0.9272727272727272,development
2019,WR,OL_ENVIRONMENT,85,0.9647058823529412,0.9647058823529412,0.9647058823529412,development
2019,TE,OL_ENVIRONMENT,49,0.9591836734693877,0.9591836734693877,0.9591836734693877,development
2020,QB,OL_ENVIRONMENT,37,0.972972972972973,0.972972972972973,0.972972972972973,development
2020,RB,OL_ENVIRONMENT,62,0.9516129032258065,0.9516129032258065,0.9516129032258065,development
2020,WR,OL_ENVIRONMENT,94,0.9787234042553191,0.9787234042553191,0.9787234042553191,development
2020,TE,OL_ENVIRONMENT,48,1.0,1.0,1.0,development
2021,QB,OL_ENVIRONMENT,37,1.0,1.0,1.0,development
2021,RB,OL_ENVIRONMENT,65,0.9846153846153847,0.9846153846153847,0.9846153846153847,development
2021,WR,OL_ENVIRONMENT,91,0.9340659340659341,0.9340659340659341,0.9340659340659341,development
2021,TE,OL_ENVIRONMENT,51,0.9607843137254902,0.9607843137254902,0.9607843137254902,development
2018,QB,AGE_DRAFT_INTERACTIONS,29,1.0,1.0,0.9655172413793104,development
2018,RB,AGE_DRAFT_INTERACTIONS,58,1.0,1.0,0.9655172413793104,development
2018,WR,AGE_DRAFT_INTERACTIONS,84,1.0,1.0,0.9523809523809523,development
2018,TE,AGE_DRAFT_INTERACTIONS,51,1.0,1.0,0.9215686274509803,development
2019,QB,AGE_DRAFT_INTERACTIONS,31,1.0,1.0,1.0,development
2019,RB,AGE_DRAFT_INTERACTIONS,55,1.0,1.0,0.9272727272727272,development
2019,WR,AGE_DRAFT_INTERACTIONS,85,1.0,1.0,0.9647058823529412,development
2019,TE,AGE_DRAFT_INTERACTIONS,49,1.0,1.0,0.9591836734693877,development
2020,QB,AGE_DRAFT_INTERACTIONS,37,1.0,1.0,0.972972972972973,development
2020,RB,AGE_DRAFT_INTERACTIONS,62,1.0,1.0,0.9516129032258065,development
2020,WR,AGE_DRAFT_INTERACTIONS,94,1.0,1.0,0.9787234042553191,development
2020,TE,AGE_DRAFT_INTERACTIONS,48,1.0,1.0,1.0,development
2021,QB,AGE_DRAFT_INTERACTIONS,37,1.0,1.0,1.0,development
2021,RB,AGE_DRAFT_INTERACTIONS,65,1.0,1.0,0.9846153846153847,development
2021,WR,AGE_DRAFT_INTERACTIONS,91,1.0,1.0,0.9340659340659341,development
2021,TE,AGE_DRAFT_INTERACTIONS,51,1.0,1.0,0.9607843137254902,development
2022,QB,OPPORTUNITY_ROLE,44,0.9545454545454546,0.9545454545454546,0.9545454545454546,confirmation
2022,RB,OPPORTUNITY_ROLE,62,0.9487666034155599,0.9516129032258065,0.9516129032258065,confirmation
